<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.24	05:00:00	1676.60300	1683.78700	1671.41400	1677.90000	985	0	167800
2021.03.24	06:00:00	1677.90000	1686.68100	1672.91100	1675.90400	990	0	168400
2021.03.24	07:00:00	1675.90400	1681.09300	1667.32300	1671.01500	1561	0	348900
2021.03.24	08:00:00	1671.01500	1684.98400	1658.34300	1680.69400	2850	0	168400
2021.03.24	09:00:00	1680.89300	1700.35000	1680.29500	1694.36400	2501	0	264900
2021.03.24	10:00:00	1694.36400	1716.17200	1693.86500	1710.30700	3932	0	171700
2021.03.24	11:00:00	1710.31700	1717.23100	1705.63900	1709.03100	3830	0	185500
2021.03.24	12:00:00	1709.03100	1713.92100	1705.43900	1711.72500	936	0	363400
2021.03.24	13:00:00	1711.72500	1712.42400	1704.34200	1711.62600	551	0	393400
2021.03.24	14:00:00	1711.62600	1736.97000	1711.62600	1727.89000	984	0	203800
2021.03.24	15:00:00	1727.89000	1730.68400	1712.82300	1719.90700	1526	0	277800
2021.03.24	16:00:00	1719.90700	1723.69900	1716.31500	1718.51000	1308	0	345900
2021.03.24	17:00:00	1718.51000	1724.19800	1709.83000	1717.21300	1835	0	314800
2021.03.24	18:00:00	1717.21300	1721.80300	1698.35500	1698.85400	2170	0	335100
2021.03.24	19:00:00	1698.85400	1705.53900	1692.86700	1693.36600	2237	0	328100
2021.03.24	20:00:00	1693.36600	1697.55700	1663.43200	1663.43200	2885	0	307300
2021.03.24	21:00:00	1663.43200	1670.11700	1621.62400	1633.19900	3872	0	243800
2021.03.24	22:00:00	1633.09900	1633.99700	1578.23500	1608.84700	7038	0	159500
2021.03.24	23:00:00	1608.84700	1617.63300	1593.28700	1610.05000	4335	0	177200
2021.03.25	00:00:00	1610.05000	1610.14900	1542.59800	1582.71000	6098	0	158000
2021.03.25	01:00:00	1583.00900	1593.98500	1571.13500	1582.31100	3147	0	187200
